year,suburb,res_type,seat_indoor,seat_outdoor,all_seat
2008,Parkville,Takeaway Food Services,35.0,44.0,79.0
2008,Port Melbourne,Cafes and Restaurants,343.0,140.0,483.0
2008,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2008,South Yarra,Cafes and Restaurants,586.0,79.0,665.0
2008,Southbank,Cafes and Restaurants,6517.0,2120.0,8637.0
2008,Southbank,"Pubs, Taverns and Bars",412.0,98.0,510.0
2008,Southbank,Takeaway Food Services,95.0,70.0,165.0
2008,West Melbourne,Cafes and Restaurants,1222.0,234.0,1456.0
2008,West Melbourne,"Pubs, Taverns and Bars",1217.0,60.0,1277.0
2008,West Melbourne,Takeaway Food Services,94.0,27.0,121.0
2009,Carlton,Cafes and Restaurants,10395.0,3056.0,13451.0
2009,Carlton,"Pubs, Taverns and Bars",1010.0,123.0,1133.0
2009,Carlton,Takeaway Food Services,284.0,233.0,517.0
2009,Docklands,Cafes and Restaurants,10586.0,2888.0,13474.0
2009,Docklands,"Pubs, Taverns and Bars",604.0,361.0,965.0
2009,Docklands,Takeaway Food Services,199.0,72.0,271.0
2009,East Melbourne,Cafes and Restaurants,5272.0,789.0,6061.0
2009,East Melbourne,Takeaway Food Services,87.0,37.0,124.0
2009,Kensington,Cafes and Restaurants,365.0,163.0,528.0
2009,Kensington,"Pubs, Taverns and Bars",290.0,62.0,352.0
2009,Kensington,Takeaway Food Services,121.0,2.0,123.0
2009,Melbourne (CBD),Cafes and Restaurants,50448.0,10507.0,60955.0
2009,Melbourne (CBD),"Pubs, Taverns and Bars",8857.0,891.0,9748.0
2009,Melbourne (CBD),Takeaway Food Services,2308.0,972.0,3280.0
2009,Melbourne (Remainder),Cafes and Restaurants,6813.0,1405.0,8218.0
2009,Melbourne (Remainder),Takeaway Food Services,23.0,43.0,66.0
2009,North Melbourne,Cafes and Restaurants,2150.0,496.0,2646.0
2009,North Melbourne,"Pubs, Taverns and Bars",1140.0,196.0,1336.0
2009,North Melbourne,Takeaway Food Services,232.0,86.0,318.0
2009,Parkville,Cafes and Restaurants,1090.0,583.0,1673.0
2009,Parkville,"Pubs, Taverns and Bars",298.0,0.0,298.0
2009,Parkville,Takeaway Food Services,35.0,44.0,79.0
2009,Port Melbourne,Cafes and Restaurants,343.0,140.0,483.0
2009,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2009,South Yarra,Cafes and Restaurants,586.0,79.0,665.0
2009,Southbank,Cafes and Restaurants,6517.0,2120.0,8637.0
2009,Southbank,"Pubs, Taverns and Bars",412.0,98.0,510.0
2009,Southbank,Takeaway Food Services,95.0,70.0,165.0
2009,West Melbourne,Cafes and Restaurants,1374.0,270.0,1644.0
2009,West Melbourne,"Pubs, Taverns and Bars",1231.0,88.0,1319.0
2009,West Melbourne,Takeaway Food Services,122.0,48.0,170.0
2010,Carlton,Cafes and Restaurants,10395.0,3056.0,13451.0
2010,Carlton,"Pubs, Taverns and Bars",1010.0,123.0,1133.0
